data;preco_br;;;;
25/05/1999;15,98;;;;
26/05/1999;15,97;;;;
27/05/1999;15,9;;;;
28/05/1999;16,14;;;;
31/05/1999;16,09;;;;
01/06/1999;16,04;;;;
02/06/1999;16,22;;;;
04/06/1999;16,3;;;;
07/06/1999;16,52;;;;
08/06/1999;16,52;;;;
09/06/1999;16,66;;;;
10/06/1999;16,76;;;;
11/06/1999;16,84;;;;
14/06/1999;16,97;;;;
15/06/1999;16,96;;;;
16/06/1999;16,84;;;;
17/06/1999;16,77;;;;
18/06/1999;16,83;;;;
21/06/1999;16,79;;;;
22/06/1999;16,76;;;;
23/06/1999;16,81;;;;
24/06/1999;16,75;;;;
25/06/1999;16,73;;;;
28/06/1999;16,58;;;;
29/06/1999;16,54;;;;
30/06/1999;16,45;;;;
01/07/1999;16,27;;;;
02/07/1999;16,05;;;;
05/07/1999;15,98;;;;
06/07/1999;15,54;;;;
07/07/1999;15,64;;;;
08/07/1999;15,73;;;;
12/07/1999;16,02;;;;
13/07/1999;16,12;;;;
14/07/1999;16,11;;;;
15/07/1999;16,18;;;;
16/07/1999;15,98;;;;
19/07/1999;16,05;;;;
20/07/1999;16,28;;;;
21/07/1999;16,77;;;;
22/07/1999;17,01;;;;
23/07/1999;17,47;;;;
26/07/1999;17,07;;;;
27/07/1999;16,68;;;;
28/07/1999;16,44;;;;
29/07/1999;16,45;;;;
30/07/1999;16,45;;;;
02/08/1999;17,3;;;;
03/08/1999;17,83;;;;
04/08/1999;18,19;;;;
05/08/1999;18,01;;;;
06/08/1999;18,16;;;;
09/08/1999;18,14;;;;
10/08/1999;18,73;;;;
11/08/1999;18,59;;;;
12/08/1999;17,5;;;;
13/08/1999;17,49;;;;
16/08/1999;17,93;;;;
17/08/1999;18,76;;;;
18/08/1999;18,83;;;;
19/08/1999;19,39;;;;
20/08/1999;19,65;;;;
23/08/1999;18,67;;;;
24/08/1999;19,12;;;;
25/08/1999;19,29;;;;
26/08/1999;19,14;;;;
27/08/1999;19,23;;;;
30/08/1999;19,32;;;;
31/08/1999;19,6;;;;
01/09/1999;19,83;;;;
02/09/1999;20,01;;;;
03/09/1999;20,3;;;;
06/09/1999;20,29;;;;
08/09/1999;20,97;;;;
09/09/1999;20,99;;;;
10/09/1999;20,99;;;;
13/09/1999;21,22;;;;
14/09/1999;21,26;;;;
15/09/1999;20,84;;;;
16/09/1999;20,78;;;;
17/09/1999;20,88;;;;
20/09/1999;20,77;;;;
21/09/1999;20,85;;;;
22/09/1999;20,65;;;;
23/09/1999;20,64;;;;
24/09/1999;20,64;;;;
27/09/1999;20,77;;;;
28/09/1999;20,95;;;;
29/09/1999;20,94;;;;
30/09/1999;20,95;;;;
01/10/1999;21,1;;;;
04/10/1999;21,03;;;;
05/10/1999;21,02;;;;
06/10/1999;21,34;;;;
07/10/1999;21,24;;;;
08/10/1999;22,1;;;;
11/10/1999;22,12;;;;
13/10/1999;22,37;;;;
14/10/1999;22,42;;;;
15/10/1999;22,39;;;;
18/10/1999;22,44;;;;
19/10/1999;22,5;;;;
20/10/1999;22,5;;;;
